"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Oenanthe_oenanthe",0.443679431412812,-6.49261829593239,-0.762670629649972,1.20144502646398,-0.349678228116897,0.109796670115205,-0.395891804397568,-0.0215528362625646
"Saxicola_torquatus",0.981614758593822,-5.51261508385997,0.269314733244961,2.05943973444417,0.0685995681191764,0.0927384725655632,-0.190786729578303,-0.0846244909155105
"Ficedula_albicollis",1.03308681676027,-4.17056247460871,-1.43449579539421,1.20629834505217,-0.332263530299417,0.595408725561877,-0.291186639789296,0.104064004973394
"Erithacus_rubecula",1.4370815298145,-5.5998401250232,-0.578370896508812,1.6025448731322,0.169678383171505,0.286440639732795,-0.114695542010861,0.0244146584673746
"Cinclus_mexicanus",1.11839625614278,-7.11160891459115,-0.574383823994437,0.100082513470278,-0.430064365020895,0.263630541506525,-0.288328004052511,0.0607597862051279
"Tichodroma_muraria",-1.8697450470703,-3.88520857897412,-1.48949716903844,0.688667835723255,-0.338409060750727,0.800275089537363,-0.534604732296652,0.144539060880588
"Certhia_brachydactyla",1.02402681801695,-3.17432066835862,-0.404576326085933,0.660484528515568,0.566300824055862,0.133761932371504,-0.436641987406431,-0.0294840057446687
"Certhia_familiaris",2.30771739273941,-5.10683939253169,-0.723622611266834,0.922648486178605,0.129718767591246,-0.00302691171740971,-0.0738783860516581,0.0514212764261838
"Polioptila_caerulea",2.21365228440324,-5.6536955195682,-1.0800034124238,0.447232161877244,-0.806729514484847,0.35197987964503,-0.439768297661635,0.102014307206889
"Thryothorus_ludovicianus",-0.621065545539244,-5.2733173763773,0.713172831521696,0.593875952753907,-1.39786439821106,0.676746659619676,0.13952728064511,0.0303742687129583
"Sitta_europaea",-1.84994536848097,-3.68085135896156,0.226445074811849,-0.929187578364702,-2.51356496772178,0.385346288505088,-0.16025152736087,-0.0418867773723743
"Dulus_dominicus",-2.4776441370347,-0.412353128597147,-1.40851117209859,2.40498494173458,-3.40186562782505,-0.295492092590119,-0.909486196814091,0.0092723149143249
"Bombycilla_garrulus",0.916608760083629,-2.56962776472514,2.50858959987474,-0.766272135522138,-1.85608699153803,0.352218456507143,0.17058439660682,0.168400850766341
"Phainopepla_nitens",0.900766844048962,-8.53478356186204,-0.25982989138311,-0.421361278358297,-0.829221984839936,0.118267764444106,-0.579041206970209,0.116979607828914
"Regulus_satrapa",2.63815582864676,-4.10103669896229,-0.738852284524108,0.00492056732580314,-0.0175464310565043,0.173473767538968,-0.0176758048223772,0.0722864151949827
"Dicaeum_eximium",-1.16971628415457,2.51678480542477,1.65752060491674,-0.326745929215285,1.41742347651798,-0.573187965943263,0.157016358402568,-0.11814683523908
"Nectarinia_aspasia",2.00451789099539,-3.43569274417289,-0.0429271807803184,0.534121003253406,-0.0482500295873845,0.252713390590314,-0.174170924177734,0.106137281802977
"Chloropsis_hardwickii",-0.141212544555801,-5.21541743968074,-0.556369873305476,0.925979089794678,-0.652175109141884,0.430456385507503,-0.125062557764675,0.0801593849358668
"Chloropsis_cyanopogon",-1.06013497091937,-5.09788009987099,-0.781736489900404,0.521890009272738,-0.917797232123034,0.367338751193493,-0.427426947912912,-0.0209801420555117
"Irena_cyanogastra",-2.76347289933474,-5.88375908209309,-0.922197012600449,1.11829888707038,-1.00311479251627,0.448187108504602,-0.3877437814164,-0.0738771754206781
"Pheucticus_melanocephalus",-1.76982688949004,-6.92706410743924,-1.51916019862455,1.22456761306962,-0.149580195570027,-0.0778251550239072,-0.383955022668964,0.00945537073919958
"Cardinalis_cardinalis",-1.79653589758116,-5.47900514898865,-0.381776579482386,0.437864880303823,-2.14055415938289,0.2787857127459,-0.189156604570152,-0.0272701947788821
"Passerina_amoena",1.74535641887676,-5.29451558258298,0.0022778008918285,1.59047909258306,-0.432372342865535,0.0869141431553981,-0.0931683179856456,-0.0934732521514772
"Rhodinocichla_rosea",-3.67977244965947,-4.48462574597207,-0.0694677920221399,1.74232524022126,-1.42246478150942,0.583701161764959,-0.868106720533578,0.203644264098244
"Geospiza_fortis",-1.21306808214119,-3.51734381141329,-0.314665011622256,0.825036733722179,-2.17476318958866,0.610641433798117,-0.366218813018544,-0.238179545969472
"Sporophila_hypoxantha",-0.724459295816876,-3.27430381697973,-1.14401958750971,-0.508593636846565,-1.65024227718343,0.775396936250382,-0.175751203283571,-0.0385315642159632
"Emberiza_fucata",1.72708344489934,-5.3814039227235,0.10535916495744,2.0905773534472,0.123399320078346,0.160284200619485,-0.151456580796501,0.0195772265234771
"Junco_hyemalis",1.60997115301104,-5.53163720413922,3.69793727122645,-0.54104882920793,-1.49075192270417,0.372979327975815,-0.539331045100031,0.108912723774865
"Zonotrichia_albicollis",-1.09206178651368,-4.54788603976076,-0.842327760520456,-0.655077091010219,0.376327657794182,0.144754948235129,-0.227068276928239,0.0691540461748858
